inst,short,East
AMU RPG - Institut National de Physique Nucléaire et de Physique des Particules,INPN,TRUE
AMU RPG - Laboratoire d'Astrophysique de Marseille,LAM,TRUE
AMU RPG - Observatoire des Sciences de l'Univers - Institut Pythéas,Institut Pytheas,TRUE
Argonne National Lab,Argonne,FALSE
Australian National University,ANU,TRUE
"Barcelona-Madrid RPG - Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Barcelona-CIEMT,TRUE
Barcelona-Madrid RPG - Institut de Ciències de L'Espai - IEEC/CSIC,IEEC/CSIC,TRUE
"Barcelona-Madrid RPG - Institut de Física d'Altes Energies, Universitat Autònoma de Barcelona",IFAE-UAB,TRUE
Barcelona-Madrid RPG - Universidad Autónoma de Madrid,UAM,TRUE
Boston University,Boston,FALSE
Brookhaven National Lab,Brookhaven,FALSE
CPG-NAOC RPG - Beijing Astronomical Observatory,BAO,TRUE
"CPG-NAOC RPG - National Astronomical Observatories, Chinese Academy of Sciences",NAO-CAS,TRUE
CPG-NAOC RPG - Peking University,Peking,TRUE
CPG-NAOC RPG - Tsinghua University,Tsinghua,TRUE
"California State University, East Bay",CalState East Bay,FALSE
Carnegie Institution for Science,Carnegie,FALSE
Carnegie Mellon University,CMU,Flase
Centrum Fizyki Teoretycznej - Polskiej Akademii Nauk,Centrum Fizyki Teoretycznej,TRUE
College of Saint Benedict - Saint John's University,Saint John’s University,TRUE
Cornell University,Cornell,FALSE
Durham University,Durham,TRUE
Eidgenössische Technische Hochschule Zürich,ETHZ,FALSE
Fermilab - University of Chicago - Yerkes,Fermilab,TRUE
Flatiron Institute,Flatiron,FALSE
"GMT RPG - Campus de Excelencia Internacional CIE/UAM + CSIC, Universidad Autónoma de Madrid",CIE/UAM + CSIC,TRUE
GMT RPG - Instituto de Astrofísica de Andalucía,Andalucia,TRUE
GMT RPG - Instituto de Astrofísica de Canarias,Canarias,TRUE
Hamilton College,Hamilton,FALSE
Harvard University,Harvard,FALSE
"Imperial College, London",ICL,TRUE
Kansas State University,KSU,FALSE
Kavli Institute for the Physics and Mathematics of the Universe,Kavli,FALSE
Korea Astronomy and Space Science Institute,KASI,TRUE
Korea Institute for Advanced Study,KIAS,TRUE
LPNHE - Laboratoire de Physique Nucléaire et de Hautes Energies,LPNHE,TRUE
Laboratório Interinstitucional de e-Astronomia - LIneA,LIneA,TRUE
Lawrence Berkeley National Lab,LBNL,Flase
Lawrence Livermore National Lab,LLNL,FALSE
Max-Planck-Institut für Extraterrestrische Physik,MPI-EP,TRUE
México RPG - Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CIEAIPN,FALSE
México RPG - Instituto Nacional de Investigaciones Nucleares,ININ,FALSE
México RPG - Universidad Nacional Autónoma de México,UNAM,FALSE
México RPG - Universidad de Guanajuato,Guanajuato,FALSE
National Science Foundations's National Optical-Infrared Astronomy Research Laboratory,NOIRLab,FALSE
National Tsing Hua University,National Tsinghua,TRUE
New York University,NYU,FALSE
No Trac Account,,FALSE
Ohio State University,OSU,FALSE
Ohio University,Ohio,FALSE
Perimeter Institute for Theoretical Physics,Perimeter,FALSE
Princeton University,Princeton,FALSE
Purple Mountain Observatory,Purple Mountain,FALSE
Queen Mary University of London,Queen Mary,TRUE
SLAC National Accelerator Laboratory,SLAC,FALSE
Saclay - Commissariat à l'énergie atomique et aux énergies alternatives,Saclay,TRUE
Seoul National University,Seoul,TRUE
Shanghai Jiao Tong University,Shangai Jia Tong,TRUE
Sichuan University,Sichuan,TRUE
Siena College,Siena,FALSE
Southern Methodist University,SMU,FALSE
Space Telescope Science Institute,STSI,FALSE
Sun Yat-Sen University,Sun Yat-Sen,TRUE
Swinburne University of Technology,Swinburne,TRUE
"UK RPG - The Royal Observatory, Edinburgh","Royal Observatory, Edinburgh",TRUE
UK RPG - University of Cambridge,Cambridge,TRUE
UK RPG - University of Saint Andrews,Saint Andrews,TRUE
UK RPG - University of Warwick,Warwick,TRUE
Universidad ECCI,ECCI,FALSE
Universidad de los Andes,Andes,FALSE
Universitat de Barcelona,Barcelona,TRUE
Universitetet i Oslo,Oslo,TRUE
University College London,UCL,TRUE
University of Arizona,Arizona,FALSE
"University of California, Berkeley",UC Berkeley,FALSE
"University of California, Irvine",UC Irvine,FALSE
"University of California, Santa Cruz - Lick Observatory",UCSanta Cruz,FALSE
University of Edinburgh,U of Edinburgh,TRUE
University of Florida,Florida,FALSE
University of Maryland,Maryland,FALSE
University of Michigan,Michigan,FALSE
University of Oxford,Oxford,TRUE
University of Pennsylvania,UPenn,FALSE
University of Pittsburgh,Pittsburgh,FALSE
University of Portsmouth,Portsmouth,TRUE
University of Queensland,Queensland,TRUE
University of Rochester,Rochesterf,FALSE
University of San Francisco,USF,FALSE
"University of Texas, Dallas","U of Texas, Dallas",FALSE
University of Toronto,Toronto,FALSE
University of Utah,Utah,FALSE
University of Washington,Washington,FALSE
University of Waterloo,Waterloo,FALSE
University of Wyoming,Wyoming,FALSE
Universität Bonn,Bonn,TRUE
Universität Heidelberg,Heidelberg,TRUE
Universität Zürich,Zurich,TRUE
Université Paris Sud,Paris Sud,TRUE
Université de Genève,Geneve,TRUE
Winlight System,Winlight,FALSE
Yale University,Yale,FALSE
Yonsei University,Yonsei,TRUE
Yunnan University,Yunnan,TRUE
École Polytechnique Fédérale de Lausanne,EPFL,TRUE
