Month,Observing,Testing,Inst. Loss,Weather Loss,Tel. Loss,DESI5577_Q1,DESI5577_AV,DESI5577_Q3
    January,0.3276,0.0678,0.1188,0.0519,0.434,0.7755,0.6864,0.598
   February,0.3414,0.2952,0.0427,0.1674,0.1533,0.7744,0.7099,0.6316
      March,0.3469,0.1543,0.0736,0.2319,0.1932,0.8076,0.7873,0.7486
      April,0.5905,0.1773,0.0573,0.1133,0.0617,0.8902,0.8177,0.7891
        May,0.6977,0.0356,0.0683,0.0832,0.1152,0.897,0.885,0.7998
       June,0.66,0.106,0.0455,0.1599,0.0286,0.9441,0.9131,0.7503
       July,0.1147,0.0038,0.654,0.2268,0.0007,0.5077,0.4387,0.3984
     August,0.0,0.0,1.0,0.0,0.0,0.6925,0.518,0.482
  September,0.165,0.1176,0.5476,0.1678,0.0019,0.7686,0.632,0.6
October,0.6520944690417747,0.05177674290564567,0.043404601867357936,0.2502580807964947,0.0024661053887270307,0.0,0.0,0.0
October,0.6520944690417747,0.05177674290564567,0.043404601867357936,0.2502580807964947,0.002466105388727031,0.0,0.0,0.0
